State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Tamil Nadu,Tamil Nadu_District_1,2014,Rabi,Potato,1478.72,32979.38
Rajasthan,Rajasthan_District_4,2011,Kharif,Turmeric,2989.72,15182.32
Punjab,Punjab_District_4,2013,Rabi,Wheat,3438.63,7478.67
West Bengal,West Bengal_District_5,2009,Kharif,Jowar,2998.41,1766.68
Andhra Pradesh,Andhra Pradesh_District_5,2012,Rabi,Chickpea,2072.17,1731.42
Rajasthan,Rajasthan_District_1,2012,Rabi,Wheat,1927.18,5645.89
Telangana,Telangana_District_3,2014,Kharif,Jowar,4007.71,3802.9
Haryana,Haryana_District_5,2014,Kharif,Maize,2639.17,6212.78
Maharashtra,Maharashtra_District_3,2006,Kharif,Turmeric,2721.92,14877.06
Andhra Pradesh,Andhra Pradesh_District_1,2001,Kharif,Rice,1987.84,3768.26
Madhya Pradesh,Madhya Pradesh_District_3,2003,Rabi,Groundnut,3157.15,3880.28
Gujarat,Gujarat_District_5,2020,Kharif,Rice,3720.23,10082.38
Andhra Pradesh,Andhra Pradesh_District_4,2010,Rabi,Groundnut,2495.21,3625.15
Karnataka,Karnataka_District_5,2015,Rabi,Lentil,4239.94,3718.91
Haryana,Haryana_District_5,2004,Rabi,Lentil,3625.15,2647.09
West Bengal,West Bengal_District_3,2004,Rabi,Maize,3595.09,8791.76
Maharashtra,Maharashtra_District_2,2011,Rabi,Chickpea,809.09,812.81
Uttar Pradesh,Uttar Pradesh_District_2,2015,Kharif,Jowar,3644.17,2883.03
Haryana,Haryana_District_5,2010,Kharif,Bajra,3867.67,3692.59
Odisha,Odisha_District_3,2014,Kharif,Turmeric,4675.12,27773.83
Haryana,Haryana_District_2,2004,Rabi,Chickpea,667.08,671.66
West Bengal,West Bengal_District_3,2015,Kharif,Bajra,2025.06,1960.64
Haryana,Haryana_District_2,2020,Kharif,Jowar,2710.11,2327.89
Bihar,Bihar_District_2,2002,Rabi,Mustard,4596.35,4780.53
Karnataka,Karnataka_District_1,2020,Kharif,Soyabean,2123.68,2357.03
Andhra Pradesh,Andhra Pradesh_District_5,2011,Rabi,Lentil,3179.71,2728.2
Telangana,Telangana_District_1,2001,Kharif,Soyabean,1584.19,1264.7
Chhattisgarh,Chhattisgarh_District_3,2019,Kharif,Bajra,1779.47,2374.14
Maharashtra,Maharashtra_District_3,2001,Rabi,Wheat,3888.86,10216.99
Bihar,Bihar_District_4,2018,Kharif,Rice,2510.21,5663.84
Madhya Pradesh,Madhya Pradesh_District_3,2010,Rabi,Potato,4492.28,92851.68
Andhra Pradesh,Andhra Pradesh_District_4,2007,Rabi,Wheat,3311.67,10363.47
Karnataka,Karnataka_District_1,2005,Rabi,Lentil,933.8,683.08
West Bengal,West Bengal_District_2,2014,Rabi,Maize,3035.83,5118.16
Punjab,Punjab_District_1,2021,Kharif,Soyabean,181.33,167.08
Gujarat,Gujarat_District_5,2002,Rabi,Sunflower,4557.59,2572.71
Chhattisgarh,Chhattisgarh_District_4,2005,Whole Year,Sugarcane,1758.7,134378.41
Odisha,Odisha_District_2,2012,Kharif,Cotton,1136.58,568.21
Madhya Pradesh,Madhya Pradesh_District_1,2019,Rabi,Wheat,2586.67,7050.39
Bihar,Bihar_District_5,2009,Kharif,Jowar,739.81,533.35
Rajasthan,Rajasthan_District_2,2010,Kharif,Cotton,2903.76,1347.95
Andhra Pradesh,Andhra Pradesh_District_5,2012,Rabi,Jowar,1071.79,1184.51
Madhya Pradesh,Madhya Pradesh_District_2,2017,Kharif,Turmeric,2122.91,15006.98
Punjab,Punjab_District_2,2011,Rabi,Sunflower,962.64,763.71
Rajasthan,Rajasthan_District_3,2017,Whole Year,Sugarcane,3621.59,240160.76
Karnataka,Karnataka_District_2,2015,Kharif,Soyabean,4772.73,5064.03
West Bengal,West Bengal_District_4,2020,Kharif,Maize,304.56,584.74
Telangana,Telangana_District_3,2009,Rabi,Wheat,3866.02,11182.35
Punjab,Punjab_District_1,2003,Kharif,Soyabean,4104.56,5391.72
Tamil Nadu,Tamil Nadu_District_3,2006,Rabi,Chickpea,2971.64,2459.39
Telangana,Telangana_District_1,2017,Rabi,Potato,966.41,19063.5
Maharashtra,Maharashtra_District_3,2021,Kharif,Bajra,3807.23,4285.24
Bihar,Bihar_District_1,2009,Kharif,Sunflower,4723.09,4477.77
Punjab,Punjab_District_1,2021,Kharif,Soyabean,2392.39,2276.53
Chhattisgarh,Chhattisgarh_District_2,2018,Rabi,Mustard,3738.07,4312.12
Chhattisgarh,Chhattisgarh_District_2,2010,Rabi,Mustard,3240.51,3120.26
Telangana,Telangana_District_2,2011,Kharif,Maize,1732.38,4363.8
Tamil Nadu,Tamil Nadu_District_1,2013,Whole Year,Sugarcane,3148.16,225260.94
Madhya Pradesh,Madhya Pradesh_District_3,2002,Rabi,Potato,155.28,3394.4
Telangana,Telangana_District_2,2007,Kharif,Maize,96.95,198.52
Tamil Nadu,Tamil Nadu_District_1,2007,Rabi,Potato,2636.47,47591.19
Andhra Pradesh,Andhra Pradesh_District_3,2014,Kharif,Turmeric,1520.16,9365.81
Andhra Pradesh,Andhra Pradesh_District_5,2015,Rabi,Chickpea,2167.48,2307.84
Maharashtra,Maharashtra_District_4,2005,Kharif,Sunflower,3942.41,2967.7
Uttar Pradesh,Uttar Pradesh_District_3,2013,Rabi,Chickpea,4946.47,4123.61
Gujarat,Gujarat_District_3,2020,Kharif,Bajra,4197.24,4473.85
Rajasthan,Rajasthan_District_2,2009,Rabi,Jowar,972.87,770.51
Karnataka,Karnataka_District_5,2015,Kharif,Cotton,1120.8,763.98
Rajasthan,Rajasthan_District_2,2018,Rabi,Maize,3495.3,7849.7
Chhattisgarh,Chhattisgarh_District_5,2015,Kharif,Bajra,222.58,142.59
Telangana,Telangana_District_1,2002,Kharif,Maize,4317.53,7518.82
Maharashtra,Maharashtra_District_1,2011,Kharif,Cotton,480.58,162.12
Haryana,Haryana_District_2,2006,Rabi,Wheat,4812.5,11452.34
Tamil Nadu,Tamil Nadu_District_5,2017,Kharif,Turmeric,354.51,2132.32
Chhattisgarh,Chhattisgarh_District_2,2013,Kharif,Bajra,1371.79,1540.36
Chhattisgarh,Chhattisgarh_District_4,2016,Kharif,Rice,3556.4,9251.76
West Bengal,West Bengal_District_3,2007,Rabi,Groundnut,4414.1,6376.48
Odisha,Odisha_District_3,2010,Rabi,Lentil,687.91,725.9
Gujarat,Gujarat_District_2,2013,Rabi,Chickpea,2561.97,
Telangana,Telangana_District_3,2009,Kharif,Rice,3177.48,8209.33
Chhattisgarh,Chhattisgarh_District_3,2007,Rabi,Chickpea,2729.27,2052.06
West Bengal,West Bengal_District_4,2005,Kharif,Sunflower,557.42,450.96
Rajasthan,Rajasthan_District_1,2017,Rabi,Sunflower,2931.74,2447.19
Punjab,Punjab_District_3,2018,Rabi,Wheat,4951.23,13799.77
Gujarat,Gujarat_District_5,2011,Kharif,Sunflower,4116.49,4145.11
Chhattisgarh,Chhattisgarh_District_3,2002,Rabi,Potato,1404.45,22038.4
Telangana,Telangana_District_3,2002,Whole Year,Sugarcane,3875.47,247021.72
Rajasthan,Rajasthan_District_3,2012,Kharif,Maize,204.95,445.95
Gujarat,Gujarat_District_3,2003,Kharif,Jowar,1594.16,1401.9
Karnataka,Karnataka_District_2,2003,Kharif,Turmeric,204.11,955.03
Rajasthan,Rajasthan_District_4,2017,Rabi,Chickpea,501.26,573.93
Rajasthan,Rajasthan_District_2,2007,Whole Year,Sugarcane,3149.79,209504.13
Odisha,Odisha_District_1,2012,Rabi,Chickpea,1275.32,1367.78
Odisha,Odisha_District_4,2021,Rabi,Lentil,1381.52,1218.81
Maharashtra,Maharashtra_District_5,2018,Rabi,Wheat,2425.7,8288.35
Rajasthan,Rajasthan_District_5,2006,Kharif,Jowar,4543.7,4395.09
Tamil Nadu,Tamil Nadu_District_1,2015,Rabi,Chickpea,2519.5,2742.89
Gujarat,Gujarat_District_1,2008,Rabi,Potato,98.37,1971.68
Telangana,Telangana_District_1,2020,Kharif,Turmeric,1821.12,8337.49
Karnataka,Karnataka_District_2,2018,Rabi,Chickpea,4116.13,4078.04
Telangana,Telangana_District_3,2006,Rabi,Mustard,2994.14,3236.18
West Bengal,West Bengal_District_1,2012,Rabi,Wheat,4361.3,14636.24
Rajasthan,Rajasthan_District_3,2016,Whole Year,Sugarcane,2760.58,201136.37
Punjab,Punjab_District_3,2009,Rabi,Lentil,861.8,924.72
Tamil Nadu,Tamil Nadu_District_5,2019,Kharif,Jowar,1135.11,991.64
Gujarat,Gujarat_District_5,2021,Kharif,Bajra,3310.6,4708.92
Karnataka,Karnataka_District_5,2009,Kharif,Bajra,2491.72,2296.13
Chhattisgarh,Chhattisgarh_District_3,2015,Kharif,Turmeric,1325.53,8930.11
Telangana,Telangana_District_4,2004,Kharif,Cotton,3689.98,1648.5
Tamil Nadu,Tamil Nadu_District_2,2019,Kharif,Rice,2914.44,9004.34
Bihar,Bihar_District_2,2006,Whole Year,Sugarcane,3292.3,208359.72
Punjab,Punjab_District_5,2013,Kharif,Sunflower,2355.77,1706.36
Gujarat,Gujarat_District_2,2014,Rabi,Sunflower,2587.45,2234.19
Karnataka,Karnataka_District_5,2015,Rabi,Jowar,2984.95,3417.82
Andhra Pradesh,Andhra Pradesh_District_3,2002,Kharif,Jowar,4297.03,
Andhra Pradesh,Andhra Pradesh_District_4,2004,Kharif,Bajra,4850.61,3287.9
Uttar Pradesh,Uttar Pradesh_District_2,2010,Kharif,Turmeric,3363.48,18593.62
Haryana,Haryana_District_4,2011,Kharif,Bajra,4745.49,3877.82
Rajasthan,Rajasthan_District_5,2005,Rabi,Lentil,2690.88,1841.73
Maharashtra,Maharashtra_District_4,2015,Kharif,Bajra,4347.94,4059.99
Bihar,Bihar_District_1,2005,Rabi,Lentil,4686.2,3972.83
Madhya Pradesh,Madhya Pradesh_District_3,2021,Kharif,Groundnut,488.35,666.49
Gujarat,Gujarat_District_5,2011,Rabi,Wheat,136.03,352.34
Telangana,Telangana_District_1,2015,Kharif,Soyabean,2632.56,3012.55
Uttar Pradesh,Uttar Pradesh_District_5,2016,Whole Year,Sugarcane,4702.11,248377.16
Maharashtra,Maharashtra_District_2,2001,Kharif,Cotton,3667.61,1532.42
West Bengal,West Bengal_District_2,2011,Kharif,Rice,3432.08,7350.71
Andhra Pradesh,Andhra Pradesh_District_2,2015,Kharif,Bajra,2874.52,3237.92
Uttar Pradesh,Uttar Pradesh_District_5,2009,Kharif,Cotton,577.64,323.84
Bihar,Bihar_District_1,2009,Kharif,Rice,4967.02,10756.76
Rajasthan,Rajasthan_District_4,2006,Rabi,Wheat,1668.81,4766.24
Karnataka,Karnataka_District_2,2013,Rabi,Wheat,3999.18,13674.85
Karnataka,Karnataka_District_1,2015,Kharif,Cotton,3169.53,1459.85
West Bengal,West Bengal_District_5,2001,Rabi,Maize,1225.84,2049.68
Chhattisgarh,Chhattisgarh_District_2,2014,Rabi,Wheat,2527.2,7117.59
Maharashtra,Maharashtra_District_2,2021,Rabi,Groundnut,4078.14,4106.96
Rajasthan,Rajasthan_District_2,2011,Kharif,Sunflower,140.25,110.01
Madhya Pradesh,Madhya Pradesh_District_5,2004,Kharif,Sunflower,4638.82,3129.26
Haryana,Haryana_District_4,2015,Rabi,Chickpea,2684.69,2434.62
Punjab,Punjab_District_4,2018,Rabi,Chickpea,2029.53,1651.31
Madhya Pradesh,Madhya Pradesh_District_5,2007,Rabi,Lentil,1511.63,1341.5
Telangana,Telangana_District_2,2004,Kharif,Bajra,2151.41,2114.34
Telangana,Telangana_District_5,2009,Rabi,Groundnut,3979.03,3141.44
Maharashtra,Maharashtra_District_2,2010,Kharif,Jowar,4505.11,3313.2
Bihar,Bihar_District_3,2007,Whole Year,Sugarcane,3354.37,207103.99
Gujarat,Gujarat_District_2,2018,Kharif,Rice,807.27,2065.22
Haryana,Haryana_District_1,2005,Rabi,Groundnut,3227.76,3648.91
Rajasthan,Rajasthan_District_2,2013,Rabi,Jowar,2992.66,2737.8
Haryana,Haryana_District_2,2007,Rabi,Maize,3636.36,7357.53
Maharashtra,Maharashtra_District_4,2019,Rabi,Chickpea,3035.94,3297.61
Gujarat,Gujarat_District_5,2004,Kharif,Rice,999.74,2095.16
Rajasthan,Rajasthan_District_1,2004,Kharif,Soyabean,2239.93,2404.25
Haryana,Haryana_District_2,2012,Rabi,Maize,1655.45,3911.33
Karnataka,Karnataka_District_2,2012,Kharif,Soyabean,3326.1,4510.41
Maharashtra,Maharashtra_District_4,2004,Rabi,Potato,4810.25,99739.99
West Bengal,West Bengal_District_1,2016,Kharif,Soyabean,2076.92,
Tamil Nadu,Tamil Nadu_District_4,2013,Rabi,Maize,643.15,1315.81
Karnataka,Karnataka_District_5,2008,Whole Year,Sugarcane,3854.57,283156.09
Karnataka,Karnataka_District_2,2007,Kharif,Bajra,4330.2,3263.77
Tamil Nadu,Tamil Nadu_District_4,2014,Rabi,Wheat,632.36,1748.9
Bihar,Bihar_District_3,2001,Kharif,Jowar,1562.35,1096.09
Madhya Pradesh,Madhya Pradesh_District_2,2018,Whole Year,Sugarcane,2602.61,184340.64
Haryana,Haryana_District_4,2012,Rabi,Potato,4656.45,103418.2
Bihar,Bihar_District_5,2010,Rabi,Maize,4346.88,9871.69
Odisha,Odisha_District_5,2002,Rabi,Maize,1156.89,2591.59
Bihar,Bihar_District_2,2001,Rabi,Jowar,4617.65,5424.28
Telangana,Telangana_District_4,2009,Kharif,Maize,4134.74,8206.47
Bihar,Bihar_District_5,2004,Rabi,Wheat,719.07,2068.08
Tamil Nadu,Tamil Nadu_District_5,2014,Rabi,Lentil,4386.72,4279.7
West Bengal,West Bengal_District_5,2002,Rabi,Mustard,3268.5,3610.1
Rajasthan,Rajasthan_District_2,2015,Kharif,Turmeric,4919.21,33214.31
Chhattisgarh,Chhattisgarh_District_5,2014,Rabi,Jowar,550.18,477.75
Madhya Pradesh,Madhya Pradesh_District_1,2007,Kharif,Cotton,1142.97,548.0
Gujarat,Gujarat_District_4,2018,Kharif,Groundnut,697.02,878.26
Madhya Pradesh,Madhya Pradesh_District_3,2014,Rabi,Sunflower,925.59,852.9
Haryana,Haryana_District_2,2021,Rabi,Chickpea,145.0,158.56
Madhya Pradesh,Madhya Pradesh_District_5,2013,Kharif,Rice,110.0,222.75
Haryana,Haryana_District_5,2005,Rabi,Wheat,4799.9,11798.56
West Bengal,West Bengal_District_5,2021,Whole Year,Sugarcane,2466.79,181056.46
Gujarat,Gujarat_District_4,2008,Rabi,Wheat,4062.9,13066.03
Punjab,Punjab_District_5,2009,Kharif,Rice,555.64,1323.59
Odisha,Odisha_District_1,2016,Rabi,Wheat,1310.62,4003.06
Bihar,Bihar_District_3,2017,Rabi,Groundnut,3088.97,4592.53
Maharashtra,Maharashtra_District_5,2012,Kharif,Maize,2585.5,5332.35
Rajasthan,Rajasthan_District_1,2019,Kharif,Turmeric,402.72,2367.27
Haryana,Haryana_District_4,2008,Kharif,Cotton,1798.59,681.89
Madhya Pradesh,Madhya Pradesh_District_3,2011,Kharif,Sunflower,2090.05,1321.09
Karnataka,Karnataka_District_2,2016,Kharif,Groundnut,4840.91,7209.13
Bihar,Bihar_District_2,2004,Kharif,Maize,3094.31,5610.34
Odisha,Odisha_District_1,2018,Rabi,Potato,1644.97,34398.18
Telangana,Telangana_District_5,2016,Rabi,Lentil,4068.26,3187.17
Rajasthan,Rajasthan_District_2,2017,Rabi,Lentil,4644.01,3803.85
Tamil Nadu,Tamil Nadu_District_2,2020,Rabi,Jowar,1241.43,957.34
Chhattisgarh,Chhattisgarh_District_1,2021,Kharif,Bajra,1465.24,1539.19
Odisha,Odisha_District_2,2013,Kharif,Cotton,1144.26,583.8
Uttar Pradesh,Uttar Pradesh_District_4,2011,Rabi,Mustard,1383.19,1972.44
Haryana,Haryana_District_4,2018,Rabi,Mustard,1106.88,1351.11
Maharashtra,Maharashtra_District_4,2011,Kharif,Turmeric,3803.02,23939.06
Madhya Pradesh,Madhya Pradesh_District_5,2007,Rabi,Chickpea,2907.01,3292.39
Haryana,Haryana_District_2,2016,Rabi,Potato,4068.17,88218.17
Chhattisgarh,Chhattisgarh_District_2,2011,Rabi,Wheat,1589.1,4932.04
Uttar Pradesh,Uttar Pradesh_District_3,2002,Rabi,Mustard,1809.15,
Punjab,Punjab_District_2,2017,Rabi,Groundnut,104.61,163.97
Haryana,Haryana_District_1,2011,Whole Year,Sugarcane,3793.51,251157.41
Punjab,Punjab_District_4,2004,Rabi,Lentil,3624.25,3611.38
Chhattisgarh,Chhattisgarh_District_2,2006,Kharif,Cotton,2092.48,724.24
Gujarat,Gujarat_District_1,2007,Kharif,Soyabean,2430.82,3024.88
Maharashtra,Maharashtra_District_5,2020,Rabi,Potato,2825.27,73190.92
West Bengal,West Bengal_District_4,2017,Kharif,Sunflower,3200.63,3037.63
Maharashtra,Maharashtra_District_5,2006,Rabi,Sunflower,1088.72,855.98
Uttar Pradesh,Uttar Pradesh_District_1,2001,Kharif,Soyabean,488.57,601.03
Rajasthan,Rajasthan_District_4,2015,Rabi,Mustard,4991.82,5850.74
Gujarat,Gujarat_District_4,2015,Rabi,Lentil,2079.03,2011.13
Rajasthan,Rajasthan_District_1,2016,Rabi,Potato,1054.54,22019.48
Rajasthan,Rajasthan_District_1,2013,Rabi,Chickpea,3503.47,3265.92
Chhattisgarh,Chhattisgarh_District_5,2003,Rabi,Maize,2176.8,4798.5
Haryana,Haryana_District_4,2004,Rabi,Groundnut,296.72,323.47
Chhattisgarh,Chhattisgarh_District_1,2004,Kharif,Bajra,3839.29,3764.11
West Bengal,West Bengal_District_4,2004,Kharif,Bajra,116.34,90.31
Punjab,Punjab_District_4,2003,Kharif,Soyabean,1414.28,1134.8
Karnataka,Karnataka_District_4,2004,Kharif,Jowar,216.39,132.21
Punjab,Punjab_District_3,2004,Kharif,Jowar,1610.19,1333.02
Maharashtra,Maharashtra_District_3,2015,Whole Year,Sugarcane,4416.57,314164.62
Punjab,Punjab_District_4,2014,Kharif,Bajra,3667.56,2851.76
Chhattisgarh,Chhattisgarh_District_3,2012,Kharif,Jowar,1780.06,1751.43
Bihar,Bihar_District_5,2010,Whole Year,Sugarcane,489.76,35274.72
Telangana,Telangana_District_2,2011,Rabi,Sunflower,384.96,390.85
